name	type	x	y	z
S1	source	-0.041613204679326624	0.026799775287857947	0.1299043936308115
S2	source	-0.06476686499872276	0.05814256998996063	0.0908425773727145
S3	source	-0.07120554551675068	-0.012874272652217859	0.10787860947691345
S4	source	-0.0859043654400404	0.018971698468891116	0.06509762433137256
S5	source	0.03694171596700852	0.02748380530252158	0.13022129709104263
S6	source	0.06065133742692848	0.05882414589197514	0.09117717995727878
S7	source	0.06712771392323756	-0.012199231886346213	0.1085725493643022
S8	source	0.08188685574250908	0.020427932162352107	0.06571325110115192
D1	detector	-0.037619588707178915	0.06322851630256272	0.11572802770110814
D2	detector	-0.04134445059646741	-0.011779611291995052	0.13495002938154654
D3	detector	-0.07242424650162711	0.02347293206381116	0.10322218957482163
D4	detector	-0.07912592748234686	0.05140929117919257	0.057370046083468226
D5	detector	0.03352717285472944	0.06359968341212022	0.11583881331702946
D6	detector	0.03686639505686032	-0.011397164907962862	0.13536724076864515
D7	detector	0.06791592703520163	0.02468254467119271	0.10366605207860985
D8	detector	0.075310088095807	0.05226884499005337	0.05787698428594235
D9	detector	-0.03773895423262196	0.034082658086024245	0.1294919790818403
D10	detector	-0.061454307897075164	0.06443800208211416	0.09061004226260877
D11	detector	-0.07282878975853647	-0.00527870527992114	0.10743054838539287
D12	detector	-0.08439610638498087	0.02706123378098264	0.06559510739262155
D13	detector	0.040013338219712126	0.020439745814301982	0.13063767506528579
D14	detector	0.06428020193514211	0.05162125732852231	0.09133632943784001
D15	detector	0.06521393141744246	-0.019260368037897515	0.10880928230870081
D16	detector	0.08272091030272573	0.012990608473329186	0.06658402323335233
