onset	duration	trial_type	value	sample
17.536	5.0	15.0	1	137
35.84	5.0	Tapping/Right	4	280
62.336	5.0	Tapping/Left	3	487
84.736	5.0	Control	2	662
112.384	5.0	Tapping/Left	3	878
134.528	5.0	Control	2	1051
167.552	5.0	Tapping/Left	3	1309
200.064	5.0	Tapping/Right	4	1563
233.216	5.0	Control	2	1822
252.544	5.0	Control	2	1973
275.072	5.0	Tapping/Left	3	2149
307.712	5.0	Tapping/Left	3	2404
331.776	5.0	Control	2	2592
355.584	5.0	Tapping/Right	4	2778
383.104	5.0	Tapping/Left	3	2993
404.992	5.0	Tapping/Left	3	3164
429.568	5.0	Tapping/Right	4	3356
451.968	5.0	Tapping/Right	4	3531
472.576	5.0	Tapping/Right	4	3692
502.016	5.0	Tapping/Left	3	3922
530.688	5.0	Tapping/Left	3	4146
556.8	5.0	Tapping/Right	4	4350
579.072	5.0	Tapping/Left	3	4524
600.32	5.0	Control	2	4690
625.92	5.0	Control	2	4890
658.56	5.0	Tapping/Right	4	5145
683.904	5.0	Control	2	5343
704.64	5.0	Tapping/Right	4	5505
736.128	5.0	Tapping/Left	3	5751
765.824	5.0	Tapping/Right	4	5983
787.456	5.0	Tapping/Right	4	6152
809.344	5.0	Tapping/Left	3	6323
839.296	5.0	Tapping/Right	4	6557
869.376	5.0	Control	2	6792
899.456	5.0	Tapping/Right	4	7027
927.872	5.0	Control	2	7249
956.928	5.0	Tapping/Right	4	7476
988.288	5.0	Tapping/Left	3	7721
1010.688	5.0	Control	2	7896
1032.32	5.0	Tapping/Right	4	8065
1062.4	5.0	Tapping/Left	3	8300
1082.24	5.0	Control	2	8455
1113.344	5.0	Tapping/Left	3	8698
1147.264	5.0	Control	2	8963
1171.2	5.0	Tapping/Left	3	9150
1193.088	5.0	Tapping/Left	3	9321
1216.0	5.0	Tapping/Left	3	9500
1238.4	5.0	Tapping/Right	4	9675
1265.152	5.0	Tapping/Right	4	9884
1292.928	5.0	Control	2	10101
1319.936	5.0	Tapping/Left	3	10312
1345.664	5.0	Control	2	10513
1370.368	5.0	Control	2	10706
1397.504	5.0	Control	2	10918
1421.44	5.0	Control	2	11105
1442.304	5.0	Tapping/Right	4	11268
1475.072	5.0	Tapping/Right	4	11524
1495.936	5.0	Tapping/Right	4	11687
1525.248	5.0	Control	2	11916
1556.48	5.0	Tapping/Left	3	12160
1582.336	5.0	Control	2	12362
1608.32	5.0	Control	2	12565
1635.2	5.0	Control	2	12775
1654.912	5.0	Tapping/Right	4	12929
1675.392	5.0	Tapping/Left	3	13089
1703.168	5.0	Tapping/Right	4	13306
1732.864	5.0	Tapping/Right	4	13538
1755.904	5.0	Control	2	13718
1786.88	5.0	Tapping/Right	4	13960
1818.112	5.0	Tapping/Left	3	14204
1848.448	5.0	Tapping/Left	3	14441
1875.84	5.0	Tapping/Right	4	14655
1896.448	5.0	Tapping/Right	4	14816
1926.4	5.0	Control	2	15050
1959.168	5.0	Tapping/Left	3	15306
1991.936	5.0	Control	2	15562
2015.36	5.0	Tapping/Left	3	15745
2035.84	5.0	Tapping/Right	4	15905
2066.048	5.0	Tapping/Left	3	16141
2091.648	5.0	Control	2	16341
2113.024	5.0	Control	2	16508
2133.632	5.0	Control	2	16669
2153.6	5.0	Control	2	16825
2174.208	5.0	Tapping/Left	3	16986
2195.712	5.0	Tapping/Left	3	17154
2223.872	5.0	Tapping/Left	3	17374
2250.24	5.0	Tapping/Right	4	17580
2272.896	5.0	Control	2	17757
2306.56	5.0	Tapping/Left	3	18020
2328.448	5.0	Tapping/Right	4	18191
2357.248	5.0	Tapping/Right	4	18416
2385.92	5.0	15.0	1	18640
