name	type	source	detector	wavelength	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S4_D3 760	NIRSCW	S4	D3	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S4_D3 850	NIRSCW	S4	D3	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S4_D4 760	NIRSCW	S4	D4	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S4_D4 850	NIRSCW	S4	D4	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S4_D12 760	NIRSCW	S4	D12	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S4_D12 850	NIRSCW	S4	D12	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D5 760	NIRSCW	S5	D5	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D5 850	NIRSCW	S5	D5	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D6 760	NIRSCW	S5	D6	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D6 850	NIRSCW	S5	D6	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D7 760	NIRSCW	S5	D7	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D7 850	NIRSCW	S5	D7	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D13 760	NIRSCW	S5	D13	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S5_D13 850	NIRSCW	S5	D13	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D5 760	NIRSCW	S6	D5	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D5 850	NIRSCW	S6	D5	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D7 760	NIRSCW	S6	D7	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D7 850	NIRSCW	S6	D7	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D8 760	NIRSCW	S6	D8	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D8 850	NIRSCW	S6	D8	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D14 760	NIRSCW	S6	D14	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S6_D14 850	NIRSCW	S6	D14	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S7_D6 760	NIRSCW	S7	D6	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S7_D6 850	NIRSCW	S7	D6	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S7_D7 760	NIRSCW	S7	D7	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S7_D7 850	NIRSCW	S7	D7	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S7_D15 760	NIRSCW	S7	D15	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S7_D15 850	NIRSCW	S7	D15	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S8_D7 760	NIRSCW	S8	D7	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S8_D7 850	NIRSCW	S8	D7	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S8_D8 760	NIRSCW	S8	D8	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S8_D8 850	NIRSCW	S8	D8	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S8_D16 760	NIRSCW	S8	D16	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
S8_D16 850	NIRSCW	S8	D16	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a
