name	type	source	detector	wavelength	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	data
S2_D4 850	NIRS	2.0	4.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D10 760	NIRS	2.0	10.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D10 850	NIRS	2.0	10.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S3_D2 760	NIRS	3.0	2.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S3_D2 850	NIRS	3.0	2.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S3_D3 760	NIRS	3.0	3.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S3_D3 850	NIRS	3.0	3.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S3_D11 760	NIRS	3.0	11.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S3_D11 850	NIRS	3.0	11.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S4_D3 760	NIRS	4.0	3.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S4_D3 850	NIRS	4.0	3.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S4_D4 760	NIRS	4.0	4.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S4_D4 850	NIRS	4.0	4.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S4_D12 760	NIRS	4.0	12.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S4_D12 850	NIRS	4.0	12.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D5 760	NIRS	5.0	5.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D5 850	NIRS	5.0	5.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D6 760	NIRS	5.0	6.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D6 850	NIRS	5.0	6.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D7 760	NIRS	5.0	7.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D7 850	NIRS	5.0	7.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D13 760	NIRS	5.0	13.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S5_D13 850	NIRS	5.0	13.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D5 760	NIRS	6.0	5.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D5 850	NIRS	6.0	5.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D7 760	NIRS	6.0	7.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D7 850	NIRS	6.0	7.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D8 760	NIRS	6.0	8.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D8 850	NIRS	6.0	8.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D14 760	NIRS	6.0	14.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S6_D14 850	NIRS	6.0	14.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S7_D6 760	NIRS	7.0	6.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S7_D6 850	NIRS	7.0	6.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S7_D7 760	NIRS	7.0	7.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S7_D7 850	NIRS	7.0	7.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S7_D15 760	NIRS	7.0	15.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S7_D15 850	NIRS	7.0	15.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S8_D7 760	NIRS	8.0	7.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S8_D7 850	NIRS	8.0	7.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S8_D8 760	NIRS	8.0	8.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S8_D8 850	NIRS	8.0	8.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S8_D16 760	NIRS	8.0	16.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S8_D16 850	NIRS	8.0	16.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
