name	type	source	detector	wavelength	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	data
S1_D1 760	NIRS	1.0	1.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D1 850	NIRS	1.0	1.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D2 760	NIRS	1.0	2.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D2 850	NIRS	1.0	2.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D3 760	NIRS	1.0	3.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D3 850	NIRS	1.0	3.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D9 760	NIRS	1.0	9.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S1_D9 850	NIRS	1.0	9.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D1 760	NIRS	2.0	1.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D1 850	NIRS	2.0	1.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D3 760	NIRS	2.0	3.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D3 850	NIRS	2.0	3.0	850.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
S2_D4 760	NIRS	2.0	4.0	760.0	V	0.0	3.90625	Near Infrared Spectroscopy(continuous wave)	7.8125	good	n/a	101: Continuous wave amplitude
